label	text	textid
Matthew	The book of the generation of Jesus Christ, the son of David, the son of Abraham.	0
Matthew	Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;	1
Matthew	And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;	2
Matthew	And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;	3
Matthew	And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;	4
Matthew	And Jesse begat David the king; and David the king begat Solomon of her [that had been the wife] of Urias;	5
Matthew	And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;	6
Matthew	And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;	7
Matthew	And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;	8
Matthew	And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;	9
Matthew	And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:	10
Matthew	And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;	11
Matthew	And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;	12
Matthew	And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;	13
Matthew	And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;	14
Matthew	And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.	15
Matthew	So all the generations from Abraham to David [are] fourteen generations; and from David until the carrying away into Babylon [are] fourteen generations; and from the carrying away into Babylon unto Christ [are] fourteen generations.	16
Matthew	Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost.	17
Matthew	Then Joseph her husband, being a just [man], and not willing to make her a publick example, was minded to put her away privily.	18
Matthew	But while he thought on these things, behold, the angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost.	19
Matthew	And she shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins.	20
Matthew	Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,	21
Matthew	Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us.	22
Matthew	Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife:	23
Matthew	And knew her not till she had brought forth her firstborn son: and he called his name JESUS.	24
Matthew	Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, there came wise men from the east to Jerusalem,	25
Matthew	Saying, Where is he that is born King of the Jews?	26
Matthew	for we have seen his star in the east, and are come to worship him.	27
Matthew	When Herod the king had heard [these things], he was troubled, and all Jerusalem with him.	28
Matthew	And when he had gathered all the chief priests and scribes of the people together, he demanded of them where Christ should be born.	29
Matthew	And they said unto him, In Bethlehem of Judaea: for thus it is written by the prophet,	30
Matthew	And thou Bethlehem, [in] the land of Juda, art not the least among the princes of Juda: for out of thee shall come a Governor, that shall rule my people Israel.	31
Matthew	Then Herod, when he had privily called the wise men, inquired of them diligently what time the star appeared.	32
Matthew	And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when ye have found [him], bring me word again, that I may come and worship him also.	33
Matthew	When they had heard the king, they departed; and, lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.	34
Matthew	When they saw the star, they rejoiced with exceeding great joy.	35
Matthew	And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him: and when they had opened their treasures, they presented unto him gifts; gold, and frankincense, and myrrh.	36
Matthew	And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.	37
Matthew	And when they were departed, behold, the angel of the Lord appeareth to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and be thou there until I bring thee word: for Herod will seek the young child to destroy him.	38
Matthew	When he arose, he took the young child and his mother by night, and departed into Egypt:	39
Matthew	And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son.	40
Matthew	Then Herod, when he saw that he was mocked of the wise men, was exceeding wroth, and sent forth, and slew all the children that were in Bethlehem, and in all the coasts thereof, from two years old and under, according to the time which he had diligently inquired of the wise men.	41
Matthew	Then was fulfilled that which was spoken by Jeremy the prophet, saying,	42
Matthew	In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping [for] her children, and would not be comforted, because they are not.	43
Matthew	But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,	44
Matthew	Saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead which sought the young child’s life.	45
Matthew	And he arose, and took the young child and his mother, and came into the land of Israel.	46
Matthew	But when he heard that Archelaus did reign in Judaea in the room of his father Herod, he was afraid to go thither: notwithstanding, being warned of God in a dream, he turned aside into the parts of Galilee:	47
Matthew	And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene.	48
Matthew	In those days came John the Baptist, preaching in the wilderness of Judaea,	49
Matthew	And saying, Repent ye: for the kingdom of heaven is at hand.	50
Matthew	For this is he that was spoken of by the prophet Esaias, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.	51
Matthew	And the same John had his raiment of camel’s hair, and a leathern girdle about his loins; and his meat was locusts and wild honey.	52
Matthew	Then went out to him Jerusalem, and all Judaea, and all the region round about Jordan,	53
Matthew	And were baptized of him in Jordan, confessing their sins.	54
Matthew	But when he saw many of the Pharisees and Sadducees come to his baptism, he said unto them, O generation of vipers, who hath warned you to flee from the wrath to come?	55
Matthew	Bring forth therefore fruits meet for repentance:	56
Matthew	And think not to say within yourselves, We have Abraham to [our] father: for I say unto you, that God is able of these stones to raise up children unto Abraham.	57
