Author	Sentence
Matthew	Who then is a faithful and wise servant, whom his lord hath made ruler over his household, to give them meat in due season?
Matthew	Blessed [is] that servant, whom his lord when he cometh shall find so doing.
Matthew	Verily I say unto you, That he shall make him ruler over all his goods.
Matthew	But and if that evil servant shall say in his heart, My lord delayeth his coming;
Matthew	And shall begin to smite [his] fellowservants, and to eat and drink with the drunken;
Matthew	The lord of that servant shall come in a day when he looketh not for [him], and in an hour that he is not aware of,
Matthew	And shall cut him asunder, and appoint [him] his portion with the hypocrites: there shall be weeping and gnashing of teeth.
Matthew	Then shall the kingdom of heaven be likened unto ten virgins, which took their lamps, and went forth to meet the bridegroom.
Matthew	And five of them were wise, and five [were] foolish.
Matthew	They that [were] foolish took their lamps, and took no oil with them:
Matthew	But the wise took oil in their vessels with their lamps.
Matthew	While the bridegroom tarried, they all slumbered and slept.
Matthew	And at midnight there was a cry made, Behold, the bridegroom cometh; go ye out to meet him.
Matthew	Then all those virgins arose, and trimmed their lamps.
Matthew	And the foolish said unto the wise, Give us of your oil; for our lamps are gone out.
Matthew	But the wise answered, saying, [Not so]; lest there be not enough for us and you: but go ye rather to them that sell, and buy for yourselves.
Matthew	And while they went to buy, the bridegroom came; and they that were ready went in with him to the marriage: and the door was shut.
Matthew	Afterward came also the other virgins, saying, Lord, Lord, open to us.
Matthew	But he answered and said, Verily I say unto you, I know you not.
Matthew	Watch therefore, for ye know neither the day nor the hour wherein the Son of man cometh.
Matthew	For [the kingdom of heaven is] as a man travelling into a far country, [who] called his own servants, and delivered unto them his goods.
Matthew	And unto one he gave five talents, to another two, and to another one; to every man according to his several ability; and straightway took his journey.
Matthew	Then he that had received the five talents went and traded with the same, and made [them] other five talents.
Matthew	And likewise he that [had received] two, he also gained other two.
Matthew	But he that had received one went and digged in the earth, and hid his lord’s money.
Matthew	After a long time the lord of those servants cometh, and reckoneth with them.
Matthew	And so he that had received five talents came and brought other five talents, saying, Lord, thou deliveredst unto me five talents: behold, I have gained beside them five talents more.
Matthew	His lord said unto him, Well done, [thou] good and faithful servant: thou hast been faithful over a few things, I will make thee ruler over many things: enter thou into the joy of thy lord.
Matthew	He also that had received two talents came and said, Lord, thou deliveredst unto me two talents: behold, I have gained two other talents beside them.
Matthew	His lord said unto him, Well done, good and faithful servant; thou hast been faithful over a few things, I will make thee ruler over many things: enter thou into the joy of thy lord.
Matthew	Then he which had received the one talent came and said, Lord, I knew thee that thou art an hard man, reaping where thou hast not sown, and gathering where thou hast not strawed:
Matthew	And I was afraid, and went and hid thy talent in the earth: lo, [there] thou hast [that is] thine.
Matthew	His lord answered and said unto him, [Thou] wicked and slothful servant, thou knewest that I reap where I sowed not, and gather where I have not strawed:
Matthew	Thou oughtest therefore to have put my money to the exchangers, and [then] at my coming I should have received mine own with usury.
Matthew	Take therefore the talent from him, and give [it] unto him which hath ten talents.
Matthew	For unto every one that hath shall be given, and he shall have abundance: but from him that hath not shall be taken away even that which he hath.
Matthew	And cast ye the unprofitable servant into outer darkness: there shall be weeping and gnashing of teeth.
Matthew	When the Son of man shall come in his glory, and all the holy angels with him, then shall he sit upon the throne of his glory:
Matthew	And before him shall be gathered all nations: and he shall separate them one from another, as a shepherd divideth [his] sheep from the goats:
Matthew	And he shall set the sheep on his right hand, but the goats on the left.
Matthew	Then shall the King say unto them on his right hand, Come, ye blessed of my Father, inherit the kingdom prepared for you from the foundation of the world:
Matthew	For I was an hungred, and ye gave me meat: I was thirsty, and ye gave me drink: I was a stranger, and ye took me in:
Matthew	Naked, and ye clothed me: I was sick, and ye visited me: I was in prison, and ye came unto me.
Matthew	Then shall the righteous answer him, saying, Lord, when saw we thee an hungred, and fed [thee]?
Matthew	or thirsty, and gave [thee] drink?
Matthew	When saw we thee a stranger, and took [thee] in?
Matthew	or naked, and clothed [thee]?
Matthew	Or when saw we thee sick, or in prison, and came unto thee?
Matthew	And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done [it] unto one of the least of these my brethren, ye have done [it] unto me.
Matthew	Then shall he say also unto them on the left hand, Depart from me, ye cursed, into everlasting fire, prepared for the devil and his angels:
Matthew	For I was an hungred, and ye gave me no meat: I was thirsty, and ye gave me no drink:
Matthew	I was a stranger, and ye took me not in: naked, and ye clothed me not: sick, and in prison, and ye visited me not.
Matthew	Then shall they also answer him, saying, Lord, when saw we thee an hungred, or athirst, or a stranger, or naked, or sick, or in prison, and did not minister unto thee?
Matthew	Then shall he answer them, saying, Verily I say unto you, Inasmuch as ye did [it] not to one of the least of these, ye did [it] not to me.
Matthew	And these shall go away into everlasting punishment: but the righteous into life eternal.
Matthew	And it came to pass, when Jesus had finished all these sayings, he said unto his disciples,
Matthew	Ye know that after two days is [the feast of] the passover, and the Son of man is betrayed to be crucified.
Matthew	Then assembled together the chief priests, and the scribes, and the elders of the people, unto the palace of the high priest, who was called Caiaphas,
Matthew	And consulted that they might take Jesus by subtilty, and kill [him].
Matthew	But they said, Not on the feast [day], lest there be an uproar among the people.
Matthew	Now when Jesus was in Bethany, in the house of Simon the leper,
Matthew	There came unto him a woman having an alabaster box of very precious ointment, and poured it on his head, as he sat [at meat].
Matthew	But when his disciples saw [it], they had indignation, saying, To what purpose [is] this waste?
Matthew	For this ointment might have been sold for much, and given to the poor.
Matthew	When Jesus understood [it], he said unto them, Why trouble ye the woman?
Matthew	for she hath wrought a good work upon me.
Matthew	For ye have the poor always with you; but me ye have not always.
Matthew	For in that she hath poured this ointment on my body, she did [it] for my burial.
Matthew	Verily I say unto you, Wheresoever this gospel shall be preached in the whole world, [there] shall also this, that this woman hath done, be told for a memorial of her.
Matthew	Then one of the twelve, called Judas Iscariot, went unto the chief priests,
Matthew	And said [unto them], What will ye give me, and I will deliver him unto you?
Matthew	And they covenanted with him for thirty pieces of silver.
Matthew	And from that time he sought opportunity to betray him.
Matthew	Now the first [day] of the [feast of] unleavened bread the disciples came to Jesus, saying unto him, Where wilt thou that we prepare for thee to eat the passover?
Matthew	And he said, Go into the city to such a man, and say unto him, The Master saith, My time is at hand; I will keep the passover at thy house with my disciples.
Matthew	And the disciples did as Jesus had appointed them; and they made ready the passover.
Matthew	Now when the even was come, he sat down with the twelve.
Matthew	And as they did eat, he said, Verily I say unto you, that one of you shall betray me.
Matthew	And they were exceeding sorrowful, and began every one of them to say unto him, Lord, is it I?
Matthew	And he answered and said, He that dippeth [his] hand with me in the dish, the same shall betray me.
Matthew	The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed!
Matthew	it had been good for that man if he had not been born.
Matthew	Then Judas, which betrayed him, answered and said, Master, is it I?
Matthew	He said unto him, Thou hast said.
Matthew	And as they were eating, Jesus took bread, and blessed [it], and brake [it], and gave [it] to the disciples, and said, Take, eat; this is my body.
Matthew	And he took the cup, and gave thanks, and gave [it] to them, saying, Drink ye all of it;
Matthew	For this is my blood of the new testament, which is shed for many for the remission of sins.
Matthew	But I say unto you, I will not drink henceforth of this fruit of the vine, until that day when I drink it new with you in my Father’s kingdom.
Matthew	And when they had sung an hymn, they went out into the mount of Olives.
Matthew	Then saith Jesus unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep of the flock shall be scattered abroad.
Matthew	But after I am risen again, I will go before you into Galilee.
Matthew	Peter answered and said unto him, Though all [men] shall be offended because of thee, [yet] will I never be offended.
