label	text	textid
John	The elder unto the elect lady and her children, whom I love in the truth; and not I only, but also all they that have known the truth;	0
John	For the truth’s sake, which dwelleth in us, and shall be with us for ever.	1
John	Grace be with you, mercy, [and] peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love.	2
John	I rejoiced greatly that I found of thy children walking in truth, as we have received a commandment from the Father.	3
John	And now I beseech thee, lady, not as though I wrote a new commandment unto thee, but that which we had from the beginning, that we love one another.	4
John	And this is love, that we walk after his commandments.	5
John	This is the commandment, That, as ye have heard from the beginning, ye should walk in it.	6
John	For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh.	7
John	This is a deceiver and an antichrist.	8
John	Look to yourselves, that we lose not those things which we have wrought, but that we receive a full reward.	9
John	Whosoever transgresseth, and abideth not in the doctrine of Christ, hath not God.	10
John	He that abideth in the doctrine of Christ, he hath both the Father and the Son.	11
John	If there come any unto you, and bring not this doctrine, receive him not into [your] house, neither bid him God speed:	12
John	For he that biddeth him God speed is partaker of his evil deeds.	13
John	Having many things to write unto you, I would not [write] with paper and ink: but I trust to come unto you, and speak face to face, that our joy may be full.	14
John	The children of thy elect sister greet thee.	15
John	Amen.	16
John	The elder unto the wellbeloved Gaius, whom I love in the truth.	17
John	Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth.	18
John	For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.	19
John	I have no greater joy than to hear that my children walk in truth.	20
John	Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;	21
John	Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:	22
John	Because that for his name’s sake they went forth, taking nothing of the Gentiles.	23
John	We therefore ought to receive such, that we might be fellowhelpers to the truth.	24
John	I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not.	25
John	Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth [them] out of the church.	26
John	Beloved, follow not that which is evil, but that which is good.	27
John	He that doeth good is of God: but he that doeth evil hath not seen God.	28
John	Demetrius hath good report of all [men], and of the truth itself: yea, and we [also] bear record; and ye know that our record is true.	29
John	I had many things to write, but I will not with ink and pen write unto thee:	30
John	But I trust I shall shortly see thee, and we shall speak face to face.	31
John	Peace [be] to thee.	32
John	[Our] friends salute thee.	33
John	Greet the friends by name.	34
Paul	Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:	35
Paul	Grace [be] to you, and peace, from God our Father, and [from] the Lord Jesus Christ.	36
Paul	Blessed [be] the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly [places] in Christ:	37
