target	text	textid
John	The elder unto the elect lady and her children, whom I love in the truth; and not I only, but also all they that have known the truth;	0
John	The elder unto the elect lady and her children, whom I love in the truth; and not I only, but also all they that have known the truth;	1
John	The elder unto the elect lady and her children, whom I love in the truth; and not I only, but also all they that have known the truth;	2
John	For the truth’s sake, which dwelleth in us, and shall be with us for ever.	3
John	For the truth’s sake, which dwelleth in us, and shall be with us for ever.	4
John	For the truth’s sake, which dwelleth in us, and shall be with us for ever.	5
John	Grace be with you, mercy, [and] peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love.	6
John	Grace be with you, mercy, [and] peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love.	7
John	Grace be with you, mercy, [and] peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love.	8
John	I rejoiced greatly that I found of thy children walking in truth, as we have received a commandment from the Father.	9
John	I rejoiced greatly that I found of thy children walking in truth, as we have received a commandment from the Father.	10
John	I rejoiced greatly that I found of thy children walking in truth, as we have received a commandment from the Father.	11
John	And now I beseech thee, lady, not as though I wrote a new commandment unto thee, but that which we had from the beginning, that we love one another.	12
John	And now I beseech thee, lady, not as though I wrote a new commandment unto thee, but that which we had from the beginning, that we love one another.	13
John	And now I beseech thee, lady, not as though I wrote a new commandment unto thee, but that which we had from the beginning, that we love one another.	14
John	And this is love, that we walk after his commandments.	15
John	And this is love, that we walk after his commandments.	16
John	And this is love, that we walk after his commandments.	17
John	This is the commandment, That, as ye have heard from the beginning, ye should walk in it.	18
John	This is the commandment, That, as ye have heard from the beginning, ye should walk in it.	19
John	This is the commandment, That, as ye have heard from the beginning, ye should walk in it.	20
John	For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh.	21
John	For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh.	22
John	For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh.	23
John	This is a deceiver and an antichrist.	24
John	This is a deceiver and an antichrist.	25
John	This is a deceiver and an antichrist.	26
John	Look to yourselves, that we lose not those things which we have wrought, but that we receive a full reward.	27
John	Look to yourselves, that we lose not those things which we have wrought, but that we receive a full reward.	28
John	Look to yourselves, that we lose not those things which we have wrought, but that we receive a full reward.	29
John	Whosoever transgresseth, and abideth not in the doctrine of Christ, hath not God.	30
John	Whosoever transgresseth, and abideth not in the doctrine of Christ, hath not God.	31
John	Whosoever transgresseth, and abideth not in the doctrine of Christ, hath not God.	32
John	He that abideth in the doctrine of Christ, he hath both the Father and the Son.	33
John	He that abideth in the doctrine of Christ, he hath both the Father and the Son.	34
John	He that abideth in the doctrine of Christ, he hath both the Father and the Son.	35
John	If there come any unto you, and bring not this doctrine, receive him not into [your] house, neither bid him God speed:	36
John	If there come any unto you, and bring not this doctrine, receive him not into [your] house, neither bid him God speed:	37
John	If there come any unto you, and bring not this doctrine, receive him not into [your] house, neither bid him God speed:	38
John	For he that biddeth him God speed is partaker of his evil deeds.	39
John	For he that biddeth him God speed is partaker of his evil deeds.	40
John	For he that biddeth him God speed is partaker of his evil deeds.	41
John	Having many things to write unto you, I would not [write] with paper and ink: but I trust to come unto you, and speak face to face, that our joy may be full.	42
John	Having many things to write unto you, I would not [write] with paper and ink: but I trust to come unto you, and speak face to face, that our joy may be full.	43
John	Having many things to write unto you, I would not [write] with paper and ink: but I trust to come unto you, and speak face to face, that our joy may be full.	44
John	The children of thy elect sister greet thee.	45
John	The children of thy elect sister greet thee.	46
John	The children of thy elect sister greet thee.	47
John	The elder unto the wellbeloved Gaius, whom I love in the truth.	48
John	The elder unto the wellbeloved Gaius, whom I love in the truth.	49
John	The elder unto the wellbeloved Gaius, whom I love in the truth.	50
John	Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth.	51
John	Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth.	52
John	Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth.	53
John	For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.	54
John	For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.	55
John	For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.	56
John	I have no greater joy than to hear that my children walk in truth.	57
John	I have no greater joy than to hear that my children walk in truth.	58
John	I have no greater joy than to hear that my children walk in truth.	59
John	Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;	60
John	Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;	61
John	Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;	62
John	Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:	63
John	Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:	64
John	Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:	65
John	Because that for his name’s sake they went forth, taking nothing of the Gentiles.	66
John	Because that for his name’s sake they went forth, taking nothing of the Gentiles.	67
John	Because that for his name’s sake they went forth, taking nothing of the Gentiles.	68
John	We therefore ought to receive such, that we might be fellowhelpers to the truth.	69
John	We therefore ought to receive such, that we might be fellowhelpers to the truth.	70
John	We therefore ought to receive such, that we might be fellowhelpers to the truth.	71
John	I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not.	72
John	I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not.	73
John	I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not.	74
