Author	Sentence
John	The elder unto the elect lady and her children, whom I love in the truth; and not I only, but also all they that have known the truth;
John	For the truth’s sake, which dwelleth in us, and shall be with us for ever.
John	Grace be with you, mercy, [and] peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love.
John	I rejoiced greatly that I found of thy children walking in truth, as we have received a commandment from the Father.
John	And now I beseech thee, lady, not as though I wrote a new commandment unto thee, but that which we had from the beginning, that we love one another.
John	And this is love, that we walk after his commandments.
John	This is the commandment, That, as ye have heard from the beginning, ye should walk in it.
John	For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh.
John	This is a deceiver and an antichrist.
John	Look to yourselves, that we lose not those things which we have wrought, but that we receive a full reward.
John	Whosoever transgresseth, and abideth not in the doctrine of Christ, hath not God.
John	He that abideth in the doctrine of Christ, he hath both the Father and the Son.
John	If there come any unto you, and bring not this doctrine, receive him not into [your] house, neither bid him God speed:
John	For he that biddeth him God speed is partaker of his evil deeds.
John	Having many things to write unto you, I would not [write] with paper and ink: but I trust to come unto you, and speak face to face, that our joy may be full.
John	The children of thy elect sister greet thee.
John	Amen.
John	The elder unto the wellbeloved Gaius, whom I love in the truth.
John	Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth.
John	For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.
John	I have no greater joy than to hear that my children walk in truth.
John	Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;
John	Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:
John	Because that for his name’s sake they went forth, taking nothing of the Gentiles.
John	We therefore ought to receive such, that we might be fellowhelpers to the truth.
John	I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not.
John	Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth [them] out of the church.
John	Beloved, follow not that which is evil, but that which is good.
John	He that doeth good is of God: but he that doeth evil hath not seen God.
John	Demetrius hath good report of all [men], and of the truth itself: yea, and we [also] bear record; and ye know that our record is true.
John	I had many things to write, but I will not with ink and pen write unto thee:
John	But I trust I shall shortly see thee, and we shall speak face to face.
John	Peace [be] to thee.
John	[Our] friends salute thee.
John	Greet the friends by name.
Paul	Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:
Paul	Grace [be] to you, and peace, from God our Father, and [from] the Lord Jesus Christ.
Paul	Blessed [be] the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly [places] in Christ:
Paul	According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:
Paul	Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,
Paul	To the praise of the glory of his grace, wherein he hath made us accepted in the beloved.
Paul	In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;
Paul	Wherein he hath abounded toward us in all wisdom and prudence;
Paul	Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:
Paul	That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; [even] in him:
Paul	In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:
Paul	That we should be to the praise of his glory, who first trusted in Christ.
Paul	In whom ye also [trusted], after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,
Paul	Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory.
Paul	Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,
Paul	Cease not to give thanks for you, making mention of you in my prayers;
